time,voltage
2022-12-23 14:04:39.587575,3.014371
2022-12-23 14:05:09.724110,3.202844
2022-12-23 14:05:39.847529,3.305355
2022-12-23 14:06:09.962231,3.377015
2022-12-23 14:06:40.087591,3.432222
2022-12-23 14:07:10.216947,3.476943
2022-12-23 14:07:40.350360,3.5137
2022-12-23 14:08:10.466178,3.53837
2022-12-23 14:08:40.594506,3.5504
2022-12-23 14:09:10.715645,3.559244
2022-12-23 14:09:40.837888,3.56765
2022-12-23 14:10:10.957860,3.576128
2022-12-23 14:10:41.095424,3.584373
2022-12-23 14:11:11.229768,3.592335
2022-12-23 14:11:41.355976,3.600094
2022-12-23 14:12:11.480398,3.607576
2022-12-23 14:12:41.598184,3.614821
2022-12-23 14:13:11.725924,3.621968
2022-12-23 14:13:41.855007,3.62908
2022-12-23 14:14:11.988283,3.636129
2022-12-23 14:14:42.104225,3.643023
2022-12-23 14:15:12.224251,3.649606
2022-12-23 14:15:42.349898,3.655692
2022-12-23 14:16:12.474992,3.661268
2022-12-23 14:16:42.600061,3.666408
2022-12-23 14:17:12.720014,3.671248
2022-12-23 14:17:42.845063,3.675881
2022-12-23 14:18:12.973692,3.680422
2022-12-23 14:18:43.097264,3.684909
2022-12-23 14:19:13.225740,3.689342
2022-12-23 14:19:43.344750,3.693748
2022-12-23 14:20:13.464849,3.698125
2022-12-23 14:20:43.578840,3.70251
2022-12-23 14:21:13.702499,3.706905
2022-12-23 14:21:43.820044,3.711204
2022-12-23 14:22:13.950067,3.715449
2022-12-23 14:22:44.078094,3.719588
2022-12-23 14:23:14.193681,3.72365
2022-12-23 14:23:44.319541,3.727647
2022-12-23 14:24:14.446784,3.731646
2022-12-23 14:24:44.580943,3.735624
2022-12-23 14:25:14.705256,3.739628
2022-12-23 14:25:44.834792,3.743637
2022-12-23 14:26:14.960257,3.747654
2022-12-23 14:26:45.084923,3.751713
2022-12-23 14:27:15.224444,3.755806
2022-12-23 14:27:45.354306,3.75992
2022-12-23 14:28:15.489468,3.764133
2022-12-23 14:28:45.603940,3.768381
2022-12-23 14:29:15.726057,3.772688
2022-12-23 14:29:45.860868,3.777065
2022-12-23 14:30:15.985287,3.781507
2022-12-23 14:30:46.109590,3.786051
2022-12-23 14:31:16.231982,3.790682
2022-12-23 14:31:46.360410,3.795375
2022-12-23 14:32:16.492780,3.800185
2022-12-23 14:32:46.631261,3.80509
2022-12-23 14:33:16.769169,3.810099
2022-12-23 14:33:46.903529,3.815256
2022-12-23 14:34:17.026839,3.820527
2022-12-23 14:34:47.153419,3.825954
2022-12-23 14:35:17.270102,3.831472
2022-12-23 14:35:47.386913,3.83718
2022-12-23 14:36:17.524254,3.843059
2022-12-23 14:36:47.662398,3.849154
2022-12-23 14:37:17.793027,3.855443
2022-12-23 14:37:47.924608,3.8619
2022-12-23 14:38:18.051986,3.868554
2022-12-23 14:38:48.181070,3.875296
2022-12-23 14:39:18.301088,3.882116
2022-12-23 14:39:48.435774,3.88905
2022-12-23 14:40:18.556326,3.896061
2022-12-23 14:40:48.679999,3.903241
2022-12-23 14:41:18.813507,3.910586
2022-12-23 14:41:48.942880,3.918052
2022-12-23 14:42:19.063333,3.925681
2022-12-23 14:42:49.183660,3.933428
2022-12-23 14:43:19.315698,3.941299
2022-12-23 14:43:49.440471,3.949291
2022-12-23 14:44:19.566490,3.957358
2022-12-23 14:44:49.685952,3.965499
2022-12-23 14:45:19.812193,3.973724
2022-12-23 14:45:49.932507,3.981982
2022-12-23 14:46:20.044750,3.990275
2022-12-23 14:46:50.179210,3.998595
2022-12-23 14:47:20.315922,4.006879
2022-12-23 14:47:50.437405,4.015103
2022-12-23 14:48:20.563059,4.023263
2022-12-23 14:48:50.684166,4.031367
2022-12-23 14:49:20.802080,4.039398
2022-12-23 14:49:50.925494,4.047359
2022-12-23 14:50:21.045850,4.055248
2022-12-23 14:50:51.168993,4.063094
2022-12-23 14:51:21.296083,4.07087
2022-12-23 14:51:51.424985,4.078637
2022-12-23 14:52:21.549193,4.086328
2022-12-23 14:52:51.688587,4.094034
2022-12-23 14:53:21.813688,4.101748
2022-12-23 14:53:51.951195,4.109441
2022-12-23 14:54:22.074051,4.117154
2022-12-23 14:54:52.199127,4.124841
2022-12-23 14:55:22.317829,4.132568
2022-12-23 14:55:52.439580,4.140389
2022-12-23 14:56:22.560130,4.148241
2022-12-23 14:56:52.686959,4.156109
2022-12-23 14:57:22.819614,4.16408
2022-12-23 14:57:52.950212,4.172122
2022-12-23 14:58:23.082610,4.177427
2022-12-23 14:58:53.205190,4.18138
2022-12-23 14:59:23.331100,4.186709
2022-12-23 14:59:53.456294,4.193205
2022-12-23 15:00:23.585520,4.200174
